Course	Name	Attributes	Prerequisites
CHBE 6001	Introdcution to Research and Resposible Conduct of Research for ChBE Graduate Students		
CHBE 6003	Chemical Process Safety		
CHBE 6004	Communication Skills for Technical Problem Solving		
CHBE 6020	Chemical Engineering in Nanoscale Systems		
CHBE 6100	Advanced Chemical Engineering Thermodynamics		
CHBE 6110	Thermodynamics of Systems of Large Molecules		CHBE 6100
CHBE 6120	Molecular Modeling		
CHBE 6130	Electrochemical Engineering		
CHBE 6200	Advanced Transport Phenomena, Fluid Mechanics, and Heat		
CHBE 6210	Fluid Mechanics of Two-Phase Flow		CHBE 6200
CHBE 6220	Computational Fluid Dynamics: Applications in Environmental		CHBE 6200
CHBE 6229	Introduction to MEMS		
CHBE 6230	Industrial Emissions Control		
CHBE 6231	Environmental Modeling in the Forest Products Industry		CHEM 2120,CHEM 3412,&
CHBE 6232	Chemical Engineering Processes in Pulp & Paper Manufacturing		CHE 6741,ME 6741,|
CHBE 6240	Advanced Separation Processes		
CHBE 6250	Mass Transport through Solids		
CHBE 6260	Transport Phenomena-Mass Transfer		
CHBE 6300	Kinetics and Reactor Design		
CHBE 6310	Applied Chemical Kinetics		
CHBE 6320	Heterogeneous Catalysis		CHBE 6300
CHBE 6400	Advanced Process Control		
CHBE 6410	Dynamic Behavior of Process Systems		
CHBE 6460	Microelectromechanical Devices		ME 6229,ECE 6229,|
CHBE 6500	Mathematical Modeling and Analysis of Chemical Processes		
CHBE 6600	Polymerization Reaction Engineering		
CHBE 6608	Semiconductor Microlithography and Patterning		
CHBE 6609	Polymers in Microelectronics		
CHBE 6634	Wet End Processing of Paper		CHBE 6631
CHBE 6710	Microfluidics & Appl		CHBE 3200
CHBE 6741	Pulp and Paper Manufacture I		
CHBE 6742	Pulp and Paper Manufacture II		CHBE 6741,ME 6741,|
CHBE 6750	Preparation and Reactions of Polymers		CHBE 4775,CHEM 4775,|,ME 4775,MSE 4775,|,|,PTFE 4775,|
CHBE 6751	Physical Chemistry of Polymer Solutions		CHBE 4775,CHEM 4775,|,ME 4775,MSE 4775,|,|,PTFE 4775,|,ME 4777,MSE 4777,|,PTFE 4777,|,|,CHEM 3411,&
CHBE 6752	Polymer Characterization		CHBE 4775,CHEM 4775,|,ME 4775,MSE 4775,|,|,PTFE 4775,|,ME 4777,MSE 4777,|,PTFE 4777,|,|,CHEM 3411,&
CHBE 6759	Plasma Processing of Electronic Materials and Devices		
CHBE 6760	Biocatalysis and Metabolic Engineering		CHEM 3511,CHEM 4511,|,CHEM 4300,CHEM 6300,|,CHEM 6471,CHEM 6482,|,|,&
CHBE 6765	Drug Design, Development and Delivery		CHEM 3511,CHEM 4511,|
CHBE 6768	Polymer Structure, Physical Properties and Characterization		CHBE 4776,CHEM 4776,|,ME 4776,MSE 4776,|,|,PTFE 4776,|
CHBE 6774	Biomaterials: Structure and Function		
CHBE 6777	Advanced Biomaterials		BMED 6776,CHBE 6776,|,ME 6776,MSE 6776,|,|,PTFE 6776,|
CHBE 6778	Introduction to Biomaterials		
CHBE 6779	Bioprocess Engineering		
CHBE 6782	Cellular Engineering		
CHBE 6784	Cardiovascular Biomechanics		
CHBE 6789	Technology Ventures		
CHBE 6793	Systems Pathophysiology		
CHBE 6794	Tissue Engineering		
CHBE 6799	Legal Issues in Technology Transfer		
CHBE 7000	Master's Thesis		
CHBE 7650	Advanced Physical Chemistry of Polymers		CHBE 6751,CHEM 6751,|,MSE 6751,PTFE 6751,|,|
CHBE 7757	Teaching Practicum		
CHBE 7771	Mechanics of Polymer Solids and Fluids		
CHBE 7772	Fundamentals of Fracture Mechanics		ME 3201,MSE 3005,|
CHBE 7773	Advanced Fracture Mechanics		AE 7772,CEE 7772,|,CHBE 7772,ME 7772,|,|,MSE 7772,|
