Course	Name	Attributes	Prerequisites
MGT 6070	International Finance		MGT 6060
MGT 6071	Multinational Financial Management		MGT 6060
MGT 6078	Basic Finance and Investments		
MGT 6080	Investments		MGT 6060
MGT 6081	Derivative Securities		MGT 6060
MGT 6082	Fundamentals of Real Estate Development		
MGT 6083	Real Estate Practicum		
MGT 6086	Entrepreneurial Finance and Private Equity		MGT 6060,MGT 6753,|,ME 6753,BMED 6753,|,|
MGT 6090	Management of Financial Institutions		MGT 6060
MGT 6100	Leadership and Organizational Behavior		
MGT 6101	Managing Human Resources		
MGT 6106	Teamwork in Organizations		MGT 6100
MGT 6107	Leadership and Organizational Change		MGT 6100
MGT 6110	Negotiation and Conflict Resolution		MGT 6100
MGT 6111	Innovation and Entrepreneurial Behavior		
MGT 6113	ProBono Non-Profit Consulting Projects		
MGT 6114	Leadership Development		
MGT 6116	The Role of Gender, Race and Ethnicity in Organizational Behavior		
MGT 6123	Information Technology Management		
MGT 6124	Legal Environment of Business		
MGT 6125	Strategic Management		
MGT 6126	Integrative Management Experience (IME)		
MGT 6127	Business Communications		
MGT 6128	Business Ethics		
MGT 6130	Managerial Economics		
MGT 6134	Managerial Economics II		MGT 6130
MGT 6135	Macroeconomics for Managers		
MGT 6165	Venture Creation		
MGT 6176	Managing the Growing Firm		
MGT 6185	International Business Environments		
MGT 6190	Current Thinking In Strategy		MGT 6125
MGT 6197	Global Strategic Management		
MGT 6198	Corporate Entrepreneurship for Global Competitiveness		
MGT 6300	Marketing Management I		
MGT 6302	Consumer Behavior		
MGT 6303	Sales and Promotion Management		MGT 6300
MGT 6304	Customer Relationship Management		MGT 6300,MGT 6122,&
MGT 6306	Business-to-Business Marketing		MGT 6300
MGT 6308	Strategic Brand Management		MGT 6300
MGT 6310	Marketing Research: Qualitative Aspects		
MGT 6315	Marketing Analysis		MGT 6300,MGT 6600,&
MGT 6320	Building Implementable Market Response Models		
MGT 6325	Product Planning		MGT 6300
MGT 6326	Collaborative Product Development		
MGT 6335	International Marketing		
MGT 6350	Production and Operations Management I		MGT 6600
MGT 6351	Operations Resource Planning and Execution		MGT 6350
MGT 6352	International Practicum		
MGT 6353	Operations Strategy		MGT 6350
MGT 6357	Service Operations Management		MGT 6350
MGT 6359	Business Strategies For Sustainability		
MGT 6360	Global Operations and Supply Chain Management		MGT 6350
MGT 6400	Pricing Analytics and Revenue Management		
MGT 6401	Supply Chain Modeling		
MGT 6450	Project Management		
MGT 6451	Business Intelligence and Analytics		
MGT 6600	Analytical Tools for Decision Support		
MGT 6663	Technology Strategy		
MGT 6753	Principles of Management for Engineers		
MGT 6769	Fixed Income Securities		MATH 3215,MATH 3225,|,MGT 6060,MGT 6078,|,&
MGT 6772	Managing Resources of the Technological Firm		
MGT 6773	Strategic Management of Technology-Based Ventures		
MGT 6780	Knowledge Management		
MGT 6785	The Practice of Quantitative and Computational Finance		
MGT 6789	Technology Ventures		
MGT 6793	Advanced Topics in Quantitative and Computational Finance		
MGT 6799	Legal Issues in Technology Transfer		
MGT 6813	Economic Analysis for Managers		
MGT 6814	Law, Management, and Economics		MGT 6100
MGT 6830	Fundamentals of Innovation I		
MGT 6831	Fundamentals of Innovation II		
MGT 6832	Fundamentals of Technology Commerercialization		
MGT 6901	Consulting		
MGT 7000	Master's Thesis		
MGT 7060	Theory of Finance		
MGT 7061	Empirical Finance		
MGT 7062	Corporate Restructuring		
MGT 7063	International Finance		
MGT 7064	Microeconomics Theory for Management		
MGT 7101	Human Resources Management		
MGT 7102	Organization Behavior Research Methods		
MGT 7105	Individual Behavior in Organizations		
MGT 7106	Group Dynamics		
MGT 7107	Organizational Theory		
MGT 7305	Marketing Management and Strategy		
MGT 7306	Buyer Behavior		
MGT 7308	Theory Construction in the Social Sciences		
MGT 7320	Marketing Science		
MGT 7350	Operations Strategy I		
MGT 7352	Operations Planning and Control I		
MGT 7353	Operations Planning and Control II		
MGT 7354	Research Methods in Operations Management		
MGT 7400	PhD Strategic Management Research I		
MGT 7501	Managerial Econometric Modeling		
MGT 8803	Special Topics in Management		
MGT 8811	Special Topics		
MGT 8812	Special Topics		
MGT 8813	Special Topics		
MGT 8853	Research Topics in Marketing		
MGT 8873	Special Topics in Organizational Behavior		
MGT 8903	Special Problems in Management		
MGT 8997	Teaching Assistantship		
MGT 8998	Research Assistantship		
MGT 9000	Doctoral Thesis		
