Course	Name	Attributes	Prerequisites
CHEM 6582	Biophysical Chemistry		
CHEM 6583	Drug Design and Discovery		
CHEM 6584	Contemporary Biochemistry		
CHEM 6750	Preparation and Reaction of Polymers		CHBE 4775,CHEM 4775,|,ME 4775,MSE 4775,|,|,PTFE 4775,|
CHEM 6751	Physical Chemistry of Polymer Solutions		CHBE 4775,CHEM 4775,|,ME 4775,MSE 4775,|,|,PTFE 4775,|,ME 4777,MSE 4777,|,PTFE 4777,|,|,CHEM 3411,&
CHEM 6752	Polymer Characterization		CHBE 4775,CHEM 4775,|,ME 4775,MSE 4775,|,|,PTFE 4775,|,ME 4777,MSE 4777,|,PTFE 4777,|,|,CHEM 3411,&
CHEM 6755	Theoretical Chemistry of Polymers		CHEM 6471,CHBE 6751,CHEM 6751,|,MSE 6751,PTFE 6751,|,|,&
CHEM 6756	Discovery of Signaling Molecules		CHEM 2311
CHEM 6760	Biocatalysis and Metabolic Engineering		CHEM 3511,CHEM 4511,|,CHEM 4300,CHEM 6300,|,CHEM 6471,CHEM 6482,|,|,&
CHEM 6765	Drug Design, Development and Delivery		CHEM 3511,CHEM 4511,|
CHEM 7000	Master's Thesis		
CHEM 7001	Introduction to Research		
CHEM 8000	Seminar in Chemistry		
CHEM 8001	Faculty Seminar		
CHEM 8002	Information Resources for Chemists and Biochemists		
CHEM 8003	Student Seminar		
CHEM 8813	Special Topics in Inorganic Chemistry		
CHEM 8823	Special Topics in Analytical Chemistry		
CHEM 8833	Special Topics in Organic Chemistry		
CHEM 8843	Special Topics in Physical Chemistry		
CHEM 8853	Special Topics in Biochemistry		
CHEM 8873	Special Topics in Polymer Chemistry		
CHEM 8901	Special Problems		
CHEM 8902	Special Problems		
CHEM 8903	Special Problems		
CHEM 8997	Teaching Assistantship		
CHEM 8998	Research Assistantship		
CHEM 9000	Doctoral Thesis		
