Course	Name	Attributes	Prerequisites
ECE 6553	Optimal Control and Optimization		ECE 6550
ECE 6554	Adaptive Control		ECE 6550
ECE 6555	Optimal Estimation		ECE 6550
ECE 6556	Intelligent Control		ECE 6550
ECE 6557	Manufacturing Systems Design		
ECE 6558	Stochastic Systems		ISYE 3770,MATH 3770,|,CEE 3770,|
ECE 6559	Advanced Linear Systems		ECE 6550
ECE 6560	Partial Differential Equations in Image Processing and Computer Vision		ECE 6550
ECE 6561	Computing for Control Systems		
ECE 6601	Random Processes		ECE 3075
ECE 6602	Digital Communications		ECE 6601
ECE 6603	Advanced Digital Communications		ECE 6602
ECE 6604	Personal and Mobile Communications		ECE 6602
ECE 6605	Information Theory		ECE 3075
ECE 6606	Coding Theory and Applications		ECE 3075
ECE 6607	Computer Communication Networks		
ECE 6608	Performance Analysis of Communications Networks		ECE 6601,ECE 6607,&
ECE 6610	Wireless Networks		ECE 6607
ECE 6611	Broadband Networking		ECE 6607
ECE 6612	Computer Network Security		ECE 3076,ECE 4110,|,ECE 6607,CS 3251,|,|
ECE 6613	Broadband Access Networks		
ECE 6614	Multimedia Communications: Signal Processing, Networking, Applications, and Standards		
ECE 6615	Sensor Networks		ECE 6607,ECE 6610,|
ECE 6730	Modeling and Simulation: Foundations and Implementation		MATH 2401,MATH 2605,|,CS 1332,CS 1372,|,&
ECE 6744	Topics in Engineering Practice		
ECE 6759	Plasma Processing of Electronic Materials and Devices		
ECE 6771	Optoelectronics: Materials, Processes, Devices		
ECE 6776	Integrated Low-Cost Microelectronics Systems Packaging		
ECE 6779	Thermal Engineering for Packaging of Micro and Nano Systems		ME 3322,ME 3345,&,ME 3720,|
ECE 6780	Medical Image Processing		BMED 6786,ECE 6786,|
ECE 6786	Medical Imaging Systems		
ECE 6787	Quantitative Electrophysiology		BMED 4784,ECE 4784,|
ECE 6792	Manufacturing Seminar		
ECE 7000	Master's Thesis		
ECE 7055	GT-SJTU		
ECE 7102	RISC Architectures		ECE 6100
ECE 7131	Asynchronous and Self-timed Systems		ECE 6130
ECE 7141	Advanced Digital Systems Test		ECE 6140
ECE 7142	Fault Tolerant Computing		ECE 6100
ECE 7251	Signal Detection and Estimation		ECE 6601
ECE 7252	Advanced Signal Processing Theory		ECE 6250
ECE 7370	Antennas and Wave Propagation in Matter		ECE 6350
ECE 7380	Topics in Computational Electromagnetics		ECE 6350
ECE 7611	Advanced Communication Theory		
ECE 7785	Introduction to Robotics Research		
ECE 7999	Preparation for Doctoral Qualifying Examination		
ECE 8001	ECE Seminar		
ECE 8002	ECE Seminar		
ECE 8003	ECE Seminar		
ECE 8010	Research Seminar		
ECE 8020	Professional Communication Skills		
ECE 8022	Professional Communication Seminar		
ECE 8750	Robotics Research Foundation I		AE 7785,CS 7785,|,ECE 7785,ME 7785,|,|
ECE 8751	Robotics Research Foundation II		AE 8750,CS 8750,|,ECE 8750,ME 8750,|,|
ECE 8801	Special Topics		
ECE 8802	Special Topics		
ECE 8803	Special Topics		
ECE 8804	Special Topics		
ECE 8805	Special Topics		
ECE 8811	Special Topics		
ECE 8812	Special Topics		
ECE 8813	Special Topics		
ECE 8814	Special Topics		
ECE 8815	Special Topics		
ECE 8823	Special Topics		
ECE 8833	Special Topics		
ECE 8843	Special Topics		
ECE 8853	Special Topics		
ECE 8863	Special Topics		
ECE 8873	Special Topics		
ECE 8881	Special Topics-Laboratory		
ECE 8882	Special Topics-Laboratory		
ECE 8883	Special Topics-Laboratory		
ECE 8884	Special Topics-Laboratory		
ECE 8891	Special Topics-Laboratory		
ECE 8892	Special Topics-Laboratory		
ECE 8893	Special Topics-Laboratory		
ECE 8894	Special Topics-Laboratory		
ECE 8900	Special Problems		
ECE 8901	Special Problems		
ECE 8902	Special Problems		
ECE 8903	Special Problems		
ECE 8997	Teaching Assistantship		
ECE 8998	Research Assistantship		
ECE 8999	Preparation for Doctoral Dissertation		
ECE 9000	Doctoral Thesis		
