Course	Name	Attributes	Prerequisites
ME 6281	Mechanics of Paper Forming and Coating		ME 6601,ME 6602,|
ME 6301	Conduction Heat Transfer		ME 3345
ME 6302	Convection Heat Transfer		ME 3345
ME 6303	Thermal Radiation Heat Transfer		ME 3345
ME 6304	Principles of Thermodynamics		ME 3322
ME 6305	Applications of Thermodynamics		ME 6304
ME 6309	Nanoscale Heat Transfer		ME 3345
ME 6401	Linear Control Systems		ME 3015
ME 6402	Nonlinear Control Systems		ME 6401
ME 6403	Digital Control Systems		ME 3015
ME 6404	Advanced Control System Design and Implementation		ME 6403
ME 6405	Introduction to Mechatronics		ME 3015
ME 6406	Machine Vision		
ME 6407	Robotics		ME 3015,ECE 3085,|
ME 6408	Advanced Mechatronics		
ME 6441	Dynamics of Mechanical Systems		ME 3015
ME 6442	Vibration of Mechanical Systems		ME 3015,ME 3201,&
ME 6443	Variational Methods in Engineering		
ME 6444	Nonlinear Systems		
ME 6449	Acoustic Transducers and Signal Analysis		AE 6760,ME 6760,|
ME 6452	Wave Propagation in Solids		
ME 6460	Microelectromechanical Devices		ME 6229,ECE 6229,|,ECE 6450,|
ME 6601	Introduction to Fluid Mechanics		
ME 6602	Viscous Flow		ME 6601
ME 6622	Experimental Methods		
ME 6741	Pulp and Paper Manufacture I		
ME 6742	Pulp and Paper Manufacture II		CHE 6741,ME 6741,|
ME 6743	Tissue Mechanics		
ME 6744	Topics in Engineering Practice		
ME 6746	Rehabilitation Engineering		
ME 6753	Principles of Management for Engineers		
ME 6754	Engineering Database Management Systems		
ME 6758	Numerical Methods in Mechanical Engineering		
ME 6759	Materials in Environmentally Conscious Design and Manufacturing		
ME 6760	Acoustics I and II		MATH 2403,MATH 2413,|,MATH 24X3,|
ME 6761	Acoustics I and II		ME 6760,AE 6760,|
ME 6762	Applied Acoustics		ME 6760,AE 6760,|
ME 6765	Kinetics and Thermodynamics of Gases		
ME 6766	Combustion I		ME 6304,ME 6765,|,AE 6765,|
ME 6767	Topics in Combustion		ME 6766,AE 6766,|
ME 6768	Polymer Structure, Physical Properties, and Characterization		CHBE 4776,CHEM 4776,|,ME 4776,MSE 4776,|,|,PTFE 4776,|
ME 6769	Linear Elasticity		
ME 6770	Energy and Variational Methods in Elasticity and Plasticity		MATH 2403,AE 3120,ME 3201,|,&
ME 6774	Biomaterials: Structure and Function		
ME 6776	Integrated Low-cost Microelectronics Systems Packaging		
ME 6777	Advanced Biomaterials		BMED 6776,CHBE 6776,|,ME 6776,MSE 6776,|,|,PTFE 6776,|
ME 6779	Thermal Engineering for Packaging of Micro and Nano Systems		ME 3322,ME 3345,&,ME 3720,|
ME 6782	Cellular Engineering		
ME 6789	Technology Ventures		
ME 6792	Computer Integrated Manufacturing Systems Seminar		
ME 6793	Systems Pathophysiology		
ME 6794	Tissue Engineering		
ME 6795	Mathematical, Statistical, and Computational Techniques in Materials Science		
