Course	Name	Attributes	Prerequisites
AE 7773	Advanced Fracture Mechanics		AE 7772,CEE 7772,|,CHBE 7772,ME 7772,|,|,MSE 7772,|
AE 7774	Fatigue of Materials and Structures		AE 7772,CEE 7772,|,CHBE 7772,ME 7772,|,|,MSE 7772,|
AE 7775	Topics in Fracture and Fatigue of Metallic and Composite Structures		ME 2211,AE 2120,|
AE 7785	Introduction to Robotics Resesarch		
AE 7791	Damage, Failure, and Durability of Composite Materials		AE 4791,CEE 4791,|,CHBE 4791,ME 4791,|,|,MSE 4791,|
AE 7792	Advanced Mechanics of Composites		AE 7791,CHBE 7791,|,CEE 7791,ME 7791,|,|,MSE 7791,PTFE 7791,|,|
AE 7793	Manufacturing of Composites		AE 4794,CEE 4794,|,CHBE 4794,ME 4794,|,|,MSE 4794,PTFE 4794,|,|
AE 8001	Design Seminar		
AE 8750	Robotics Research Foundation I		CS 7785,AE 7785,|,ECE 7785,ME 7785,|,|
AE 8751	Robotics Research Foundation II		AE 8750,CS 8750,|,ECE 8750,ME 8750,|,|
AE 8801	Special Topics		
AE 8802	Special Topics		
AE 8803	Special Topics		
AE 8804	Special Topics		
AE 8805	Special Topics		
AE 8883	Special Topics		
AE 8900	Special Problems		
AE 8901	Special Problems		
AE 8902	Special Problems		
AE 8903	Special Problems		
AE 8997	Teaching Assistantship		
AE 8998	Research Assistantship		
AE 8999	Preparation for Doctoral Dissertation		
AE 9000	Doctoral Thesis		
